name,description,image_url,chill_score,touristic_score,cultural_score,must_do_score,family_friendly_score,group_friendly_score,couple_friendly_score,budget,time_commitment_score,latitude,longitude,popularity_score,adventurous_score,off_the_beaten_path_score,entertainment_score,sportive_score,originality_score,unesco
Aquaboulevard,"Le plus grand parc aquatique indoor de Paris avec toboggans, piscines à vagues et jacuzzis. Idéal pour une journée fun en famille ou entre amis, offrant une pause rafraîchissante en plein Paris.",Aucune image trouvée pour cette requête.,80,50,20,60,90,85,80,3,2.5,48.8322,2.2704,75,60,70,85,80,75,False
Arc de Triomphe,"Monument emblématique qui commémore les soldats français, avec une vue imprenable depuis la terrasse. Une visite incontournable pour ceux qui cherchent à comprendre l’histoire de Paris.",https://images.unsplash.com/photo-1510433541583-352d0fefcf4e?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NTczMzV8MHwxfHNlYXJjaHwxfHxBcmMlMjBkZSUyMFRyaW9tcGhlfGVufDB8fHx8MTcyNzE5MDIzOHww&ixlib=rb-4.0.3&q=80&w=1080,60,95,85,90,70,80,70,2,1.0,48.8738,2.295,95,40,30,70,20,50,False
Square des Batignolles,"Un petit parc charmant, calme et loin des foules, parfait pour une pause détente. Idéal pour les familles ou les couples cherchant à échapper à l'agitation parisienne.",https://images.unsplash.com/photo-1544098281-073ae35c98b0?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NTczMzV8MHwxfHNlYXJjaHwxfHxCYXRpZ25vbGxlcyUyMFNxdWFyZXxlbnwwfHx8fDE3MjcyMDA4NTR8MA&ixlib=rb-4.0.3&q=80&w=1080,85,60,50,65,75,70,85,1,1.5,48.8879,2.3187,65,50,85,60,50,70,False
Centre commercial Beaugrenelle,"Centre commercial moderne avec des boutiques de luxe, des restaurants et un cinéma. Idéal pour une journée de shopping sophistiqué et de divertissement.",https://images.unsplash.com/photo-1534452203293-494d7ddbf7e0?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NTczMzV8MHwxfHNlYXJjaHwxfHxCZWF1Z3JlbmVsbGUlMjBTaG9wcGluZyUyME1hbGx8ZW58MHx8fHwxNzI3MjAwODU1fDA&ixlib=rb-4.0.3&q=80&w=1080,70,55,40,50,80,75,75,3,2.5,48.8499,2.2821,70,40,50,80,30,40,False
Parc de Belleville,"Parc avec l'une des plus belles vues panoramiques de Paris surplombant la ville. Moins touristique que Montmartre, parfait pour une promenade tranquille ou un pique-nique en couple ou en famille.",https://images.unsplash.com/photo-1578802036692-81304d32a565?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NTczMzV8MHwxfHNlYXJjaHwxfHxCZWxsZXZpbGxlJTIwUGFya3xlbnwwfHx8fDE3MjcxOTA0MTl8MA&ixlib=rb-4.0.3&q=80&w=1080,80,65,70,60,75,70,80,1,1.5,48.8722,2.3806,65,70,85,60,65,75,False
Bibliothèque Sainte-Geneviève,"Bibliothèque historique qui reflète l'architecture néoclassique. Un lieu culturel important pour les amateurs de lecture et d'histoire, loin des circuits touristiques traditionnels.",https://images.unsplash.com/photo-1537202108838-e7072bad1927?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NTczMzV8MHwxfHNlYXJjaHwxfHxCaWJsaW90aCVDMyVBOHF1ZSUyMFNhaW50ZS1HZW5ldmklQzMlQTh2ZXxlbnwwfHx8fDE3MjcyMDA4NTh8MA&ixlib=rb-4.0.3&q=80&w=1080,60,40,85,65,50,50,65,1,1.0,48.8463,2.3469,50,30,65,45,20,60,False
Bois de Boulogne,"Grand parc urbain offrant une multitude d'activités : balade en barque, jogging, vélo, zoo. Idéal pour une journée en plein air loin de l'agitation du centre-ville.",https://images.unsplash.com/photo-1688057806588-9ec9736588ad?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NTczMzV8MHwxfHNlYXJjaHwxfHxCb2lzJTIwZGUlMjBCb3Vsb2duZXxlbnwwfHx8fDE3MjcxOTAzOTF8MA&ixlib=rb-4.0.3&q=80&w=1080,85,60,60,70,85,85,90,1,3.5,48.8636,2.253,80,80,75,70,85,75,False
Bois de Vincennes,"Un immense parc à l'est de Paris avec des jardins, des lacs, et un zoo. Un espace naturel et paisible pour se détendre ou pratiquer des activités sportives.",https://images.unsplash.com/photo-1558209351-15dbd1a978bc?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NTczMzV8MHwxfHNlYXJjaHwxfHxCb2lzJTIwZGUlMjBWaW5jZW5uZXN8ZW58MHx8fHwxNzI3MjAwODYwfDA&ixlib=rb-4.0.3&q=80&w=1080,85,60,60,70,85,85,85,1,3.5,48.8284,2.4331,75,80,80,70,80,70,False
Quartier Mouffetard,"Quartier historique avec des ruelles pavées et des marchés de produits locaux. Ambiance authentique et vivante, parfait pour une immersion dans la vie parisienne traditionnelle.",https://images.unsplash.com/photo-1593034758267-b08f7c932435?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NTczMzV8MHwxfHNlYXJjaHwxfHxCb3dsaW5nJTIwTW91ZmZldGFyZHxlbnwwfHx8fDE3MjcyMDA4NjF8MA&ixlib=rb-4.0.3&q=80&w=1080,80,75,85,80,70,75,90,1,1.5,48.8407,2.3484,85,60,85,75,40,85,False
Butte Bergeyre,"Colline secrète de Paris avec des vues panoramiques et des vignes urbaines. L'un des secrets les mieux gardés de la ville, offrant une véritable expérience hors des sentiers battus.",https://images.unsplash.com/photo-1616079537574-0e1b4d27be4e?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NTczMzV8MHwxfHNlYXJjaHwxfHxCdXR0ZSUyMEJlcmdleXJlfGVufDB8fHx8MTcyNzIwMDg2M3ww&ixlib=rb-4.0.3&q=80&w=1080,85,50,65,55,60,60,85,1,1.5,48.8824,2.3768,60,70,90,55,50,85,False
