name,description,image_url
Aquaboulevard,"A water park with pools, slides, and a beach area, great for family fun.",Aucune image trouvée pour cette requête.
Arc de Triomphe,Montez au sommet de l'Arc de Triomphe pour une vue panoramique sur Paris.,https://images.unsplash.com/photo-1510433541583-352d0fefcf4e?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NTczMzV8MHwxfHNlYXJjaHwxfHxBcmMlMjBkZSUyMFRyaW9tcGhlfGVufDB8fHx8MTcyNzE5MDIzOHww&ixlib=rb-4.0.3&q=80&w=1080
Batignolles Square,"A small English-style garden in the Batignolles district, perfect for a quiet afternoon.",https://images.unsplash.com/photo-1544098281-073ae35c98b0?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NTczMzV8MHwxfHNlYXJjaHwxfHxCYXRpZ25vbGxlcyUyMFNxdWFyZXxlbnwwfHx8fDE3MjcyMDA4NTR8MA&ixlib=rb-4.0.3&q=80&w=1080
Beaugrenelle Shopping Mall,"A large shopping mall in the 15th arrondissement, perfect for a casual shopping day.",https://images.unsplash.com/photo-1534452203293-494d7ddbf7e0?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NTczMzV8MHwxfHNlYXJjaHwxfHxCZWF1Z3JlbmVsbGUlMjBTaG9wcGluZyUyME1hbGx8ZW58MHx8fHwxNzI3MjAwODU1fDA&ixlib=rb-4.0.3&q=80&w=1080
Belleville Park,"A park with scenic views of Paris, offering quiet spaces and a relaxed atmosphere.",https://images.unsplash.com/photo-1578802036692-81304d32a565?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NTczMzV8MHwxfHNlYXJjaHwxfHxCZWxsZXZpbGxlJTIwUGFya3xlbnwwfHx8fDE3MjcxOTA0MTl8MA&ixlib=rb-4.0.3&q=80&w=1080
Bibliothèque Sainte-Geneviève,"A historic library with an impressive reading room, perfect for literary enthusiasts.",https://images.unsplash.com/photo-1537202108838-e7072bad1927?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NTczMzV8MHwxfHNlYXJjaHwxfHxCaWJsaW90aCVDMyVBOHF1ZSUyMFNhaW50ZS1HZW5ldmklQzMlQTh2ZXxlbnwwfHx8fDE3MjcyMDA4NTh8MA&ixlib=rb-4.0.3&q=80&w=1080
Bois de Boulogne,"Escape the city's hustle and bustle in this sprawling park with lakes, gardens, and trails.",https://images.unsplash.com/photo-1688057806588-9ec9736588ad?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NTczMzV8MHwxfHNlYXJjaHwxfHxCb2lzJTIwZGUlMjBCb3Vsb2duZXxlbnwwfHx8fDE3MjcxOTAzOTF8MA&ixlib=rb-4.0.3&q=80&w=1080
Bois de Vincennes,"A vast green space perfect for cycling, picnics, and leisurely walks.",https://images.unsplash.com/photo-1558209351-15dbd1a978bc?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NTczMzV8MHwxfHNlYXJjaHwxfHxCb2lzJTIwZGUlMjBWaW5jZW5uZXN8ZW58MHx8fHwxNzI3MjAwODYwfDA&ixlib=rb-4.0.3&q=80&w=1080
Bowling Mouffetard,"A small, cozy bowling alley in the Latin Quarter, ideal for a fun evening with friends.",https://images.unsplash.com/photo-1593034758267-b08f7c932435?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NTczMzV8MHwxfHNlYXJjaHwxfHxCb3dsaW5nJTIwTW91ZmZldGFyZHxlbnwwfHx8fDE3MjcyMDA4NjF8MA&ixlib=rb-4.0.3&q=80&w=1080
Butte Bergeyre,"A hidden neighborhood with cobblestone streets, gardens, and a vineyard overlooking Paris.",https://images.unsplash.com/photo-1616079537574-0e1b4d27be4e?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NTczMzV8MHwxfHNlYXJjaHwxfHxCdXR0ZSUyMEJlcmdleXJlfGVufDB8fHx8MTcyNzIwMDg2M3ww&ixlib=rb-4.0.3&q=80&w=1080
